a52dec 0.7.4-11.2
aalib 1.4rc5-14.2
acl 2.3.1-2.1
acpi_call 1.2.2-45.1
adobe-base-14-fonts 3.01-4
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alhp-keyring 20220522-1
alhp-mirrorlist 20220112-1
alsa-card-profiles 1:0.3.52-2
alsa-lib 1.2.7-2.1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7-1
android-file-transfer 4.2-2.1
android-udev 20220102-1
aom 3.3.0-1.1
appstream-glib 0.7.18-2.2
archlinux-keyring 20220424-1
argon2 20190702-4.1
aria2 1.36.0-1.1
asar 3.1.0-2
asciidoc 10.2.0-1
aspell 0.60.8-2.2
aspell-en 2020.12.07-1.2
at-spi2-atk 2.38.0-1.2
at-spi2-core 2.44.1-1.1
atk 2.38.0-1.1
atkmm 2.28.2-2.2
attr 2.5.1-2.1
audiofile 0.3.6-6.2
audit 3.0.8-1.1
aura-bin 3.2.9-1
autoconf 2.71-1
automake 1.16.5-1
autotiling 1.6-2
avahi 0.8+22+gfd482a7-3.2
azote-git 1.9.5.r0.ga8845b9-1
base 2-2
bash 5.1.016-1.2
bash-language-server 3.0.3-1.1
bashdb 5.0_1.1.2-1
bat 0.21.0-1.1
bc 1.07.1-4.2
binutils 2.38-5.1
bison 3.8.2-4.1
blas 3.10.1-1.1
blueman 2.2.5-1.1
bluez 5.64-2
bluez-libs 5.64-2
bombadillo-git r477.30e550c-1
boost 1.79.0-1
boost-libs 1.79.0-1
brightnessctl 0.5.1-2
brother-hl2140 2.0.2_1-4
brotli 1.0.9-8.1
btrfs-progs 5.18.1-1.1
bubblewrap 0.6.2-1.1
bzip2 1.0.8-4.2
c-ares 1.18.1-1.1
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2.1
cairomm 1.14.3-2.1
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1.1
cdparanoia 10.2-8.1
celt 0.11.3-4.1
chafa 1.10.3-1.1
check 0.15.2-2.1
chromaprint 1.5.1-3.1
chromium-widevine 1:4.10.2449.0-1
chrono-date 3.0.1-3.1
cifs-utils 6.15-1.1
clang 13.0.1-2.1
cmake 3.23.2-1.1
cmocka 1.1.5-2.1
compiler-rt 13.0.1-1.1
confuse 3.3-3.1
coreutils 9.1-1.1
cpio 2.13-2.1
cryptsetup 2.4.3-2.2
cups 1:2.4.2-3.1
cups-filters 1.28.15-1.1
curl 7.83.1-1.1
dav1d 1.0.0-1.1
db 5.3.28-5.2
dbus 1.14.0-1.1
dbus-glib 0.112-2.1
dbus-python 1.2.18-3.1
dconf 0.40.0-1.1
dejagnu 1.6.3-2
desktop-file-utils 0.26-2.1
device-mapper 2.03.16-1.1
diffutils 3.8-1.2
discord-canary-electron-bin 0.0.135-1
dmenu-wayland-git 4.2.1.r55.a7ccd7e-1
dmidecode 3.3-1.1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2.2
double-conversion 3.2.0-1.1
doxygen 1.9.3-1.1
dropbox 150.4.5000-1
e2fsprogs 1.46.5-3.1
efivar 38-2.2
electron 18.2.4-1
electron15 15.5.4-1
elfutils 0.187-1.1
ell 0.51-1.1
emacs-gcc-wayland-devel-bin 28.1.50.151702-1
enchant 2.3.3-1.1
exa 0.10.1-5.1
exfat-utils 1.3.0-2.1
exiv2 0.27.5-3.1
expac 10-5.1
expat 2.4.8-1.1
expect 5.45.4-2.1
extra-cmake-modules 5.95.0-1
faac 1.30-3.1
faad2 2.10.0-1.1
fakeroot 1.29-1.1
fann 2.2.0-5
fcft 3.1.2-1.1
fd 8.4.0-1.1
ffcall 2.4-2.1
ffmpeg 2:5.0.1-2.1
ffmpeg4.4 4.4.2-2.1
ffmpegthumbnailer 2.2.2-4.1
fftw 3.3.10-3.1
